player_id,name,team,season,season_end,salary,career_PTS,career_AST,career_TRB,career_WS,career_PER,log_salary,log_pred_salary,pred_salary,ValueScore
klebima01,Maxi Kleber,Dallas Mavericks,2017-18,2018,815615,6.1,0.8,3.9,6.3,13.2,13.611697708881636,13.833847973629034,1018506.5784924121,202891.5784924121
stiemgr01,Greg Stiemsma,Toronto Raptors,2014-15,2015,981084,3.2,0.5,3.3,6.0,11.0,13.796413361793041,13.984002099213255,1183518.2157166044,202434.21571660438
pachuza01,Zaza Pachulia,Atlanta Hawks,2008-09,2009,4000000,6.8,1.3,5.8,52.7,14.6,15.201804919084164,15.251149528851313,4202329.317190567,202329.31719056703
bareajo01,J.J. Barea,Dallas Mavericks,2008-09,2009,1500000,9.0,3.9,2.1,23.1,14.5,14.22097566607244,14.347444489391338,1702221.106332236,202221.10633223597
gordoer01,Eric Gordon,Los Angeles Clippers,2009-10,2010,2819880,16.7,2.9,2.5,33.6,14.5,14.852204888817393,14.921387176892553,3021872.338541447,201992.33854144718
evansje01,Jeremy Evans,Atlanta Hawks,2017-18,2018,133129,3.5,0.4,2.6,8.2,17.3,11.799073861942784,12.72194384471237,335019.4419223709,201890.44192237093
ilyaser01,Ersan Ilyasova,Milwaukee Bucks,2010-11,2011,2320500,10.6,1.1,5.8,44.9,15.4,14.657293237663367,14.740650458250995,2522221.095131112,201721.0951311118
carrode01,DeMarre Carroll,Denver Nuggets,2011-12,2012,289382,9.1,1.3,4.3,29.3,13.4,12.575502893594855,13.104186249671157,490993.5399036973,201611.53990369732
valanjo01,Jonas Valanciunas,Toronto Raptors,2013-14,2014,3526440,12.1,0.8,8.5,45.3,19.9,15.07579942144905,15.131287823080159,3727647.229686482,201207.22968648188
blackta01,Tarik Black,Houston Rockets,2017-18,2018,3290000,4.9,0.5,4.7,7.7,14.4,15.006398122741555,15.065514370525845,3490356.264634637,200356.26463463716
jacksre01,Reggie Jackson,Oklahoma City Thunder,2011-12,2012,1156320,12.9,4.4,3.0,28.2,16.1,13.960753106516808,14.12052021660217,1356638.106219168,200318.10621916805
holidjr01,Jrue Holiday,Philadelphia 76ers,2011-12,2012,1741440,15.6,6.4,3.8,39.1,16.9,14.370222915136964,14.479055972801387,1941664.150372095,200224.15037209494
lillada01,Damian Lillard,Portland Trail Blazers,2013-14,2014,3202920,23.5,6.3,4.2,70.3,21.4,14.979573451694923,15.040191178653846,3403079.036174053,200159.03617405286
fishede01,Derek Fisher,Dallas Mavericks,2012-13,2013,182942,8.3,3.0,2.1,62.3,11.7,12.116924441696785,12.855581757556065,382920.14876283123,199978.14876283123
westbru01,Russell Westbrook,Oklahoma City Thunder,2010-11,2011,4017720,23.0,8.4,7.0,96.9,23.7,15.206225135517656,15.254757595672798,4217518.9883687375,199798.9883687375
thomala01,Lance Thomas,New York Knicks,2014-15,2015,403784,5.2,0.7,2.6,5.4,8.3,12.908635360499812,13.310337031966208,603400.8606053608,199616.86060536082
collini01,Nick Collison,Oklahoma City Thunder,2013-14,2014,2585668,5.9,1.0,5.2,44.5,13.2,14.765494446468038,14.839774425060476,2785044.5428579203,199376.54285792029
joneste01,Terrence Jones,Houston Rockets,2012-13,2013,1485000,10.4,1.0,5.7,14.7,17.1,14.210925330218936,14.33687827190847,1684329.756322699,199329.7563226989
dienggo01,Gorgui Dieng,Minnesota Timberwolves,2014-15,2015,1413480,8.0,1.4,6.2,24.4,16.1,14.161565306740831,14.29330510395238,1612514.1518463579,199034.15184635785
davised01,Ed Davis,Toronto Raptors,2010-11,2011,1919160,6.5,0.8,6.8,41.3,16.7,14.467398148272917,14.565991252249857,2118017.8910468514,198857.8910468514
varejan01,Anderson Varejao,Portland Trail Blazers,2017-18,2018,1913345,7.3,1.2,7.2,46.4,15.6,14.464363577170024,14.562989208032445,2111669.0422152467,198324.0422152467
vaughja01,Jacque Vaughn,San Antonio Spurs,2008-09,2009,1262275,4.5,2.5,1.3,15.4,10.1,14.048426206427187,14.194309295782782,1460529.0568968884,198254.05689688842
feltora01,Raymond Felton,Los Angeles Clippers,2016-17,2017,1551659,11.2,5.2,3.0,40.2,13.8,14.25483523908925,14.374920234815411,1749639.342771503,197980.3427715029
bazemke01,Kent Bazemore,Golden State Warriors,2012-13,2013,473604,8.7,1.9,3.1,11.0,12.2,13.068126808462212,13.416968391402547,671297.9736676982,197693.9736676982
calatni01,Nick Calathes,Memphis Grizzlies,2014-15,2015,816482,4.6,2.7,1.9,2.6,12.3,13.612760145834285,13.829343467088327,1013929.0264943935,197447.02649439347
ledori01,Ricky Ledo,New York Knicks,2014-15,2015,96056,3.9,0.8,1.4,-0.6,7.0,11.472686633710554,12.589065654273638,293333.55523637566,197277.55523637566
telfase01,Sebastian Telfair,Phoenix Suns,2011-12,2012,1500000,7.4,3.5,1.6,5.0,10.8,14.22097566607244,14.344421668259551,1697083.3655488996,197083.36554889963
willire02,Reggie Williams,Golden State Warriors,2010-11,2011,762195,7.8,1.5,2.4,6.4,14.3,13.543957707442363,13.773602612233947,958958.0526926974,196763.05269269738
budinch01,Chase Budinger,Minnesota Timberwolves,2012-13,2013,885120,7.9,1.2,3.0,13.9,13.0,13.693478508018476,13.893440529179951,1081046.9516154602,195926.95161546022
scottmi01,Mike Scott,Atlanta Hawks,2013-14,2014,788872,7.1,0.9,3.1,13.3,13.2,13.578359355995456,13.800118689859925,984725.9812820356,195853.9812820356
